File Name,Credit Card,Dl Nums,DOB,Emails,Ip_add,Mac Address,Phone Number,SSN Nums,VIN Nums,Non Compliance Elemets
,,,,,,,5.0 20.0 1000.0 100.0 100.0 1000.0 4.0 4000.0,,,
,,,,,,,4.0 1000.0 4000.0,,,
,,,,,,,42130.0 43466.0,,,
,,,,,,,20.0 5.0 20.0 1.0 1.0 100.0 4.0 400.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,20.0 100.0 100.0 20.0 5.0 100.0 8.0 800.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,100.0 100.0 100.0 100.0 100.0 100.0 2.0 200.0,,,
,,,,,,,4.0 100.0 400.0,,,
,,,,,,,42772.0 43466.0,,,
,,,,,,,100.0 100.0 100.0 1000.0 20.0 1000.0 4.0 4000.0,,,
,,,,,,,4.0 1000.0 4000.0,,,
,,,,,,,42130.0 43466.0,,,
,,,,,,,5.0 100.0 100.0 5.0 100.0 100.0 8.0 800.0,,,
,,,,,,,4.0 100.0 400.0,,,
,,,,,,,42716.0 43160.0,,,
,,,,,,,5.0 1.0 5.0 5.0 1.0 5.0 2.0 10.0 8.0 5.0 40.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,1.0 100.0 5.0 1.0 5.0 100.0 8.0 800.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,42125.0 43160.0,,,
,,,,,,,100.0 100.0 5.0 100.0 1.0 100.0 8.0 800.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,42130.0 43160.0 4.0,,,
,,,,,,,100.0 100.0 100.0 100.0 5.0 100.0 2.0 200.0,,,
,,,,,,,4.0 100.0 400.0,,,
,,,,,,,1000.0 1000.0 5.0 100.0 100.0 1000.0 2.0 2000.0,,,
,,,,,,,4.0 1000.0 4000.0,,,
,,,,,,,20.0 20.0 100.0 1.0 20.0 100.0 4.0 400.0 8.0 100.0 800.0,,,
,,,,,,,42130.0 43160.0,,,
,,,,,,,20.0 20.0 20.0 20.0 20.0 100.0 2.0 200.0,,,
,,,,,,,4.0 100.0 400.0,,,
,,,,,,,42130.0 43160.0 43160.0,,,
,,,,,,,1.0 1.0 1.0 5.0 1.0 5.0 2.0 10.0,,,
,,,,,,,8.0 5.0 40.0,,,
,,,,,,,42130.0 43160.0 43160.0,,,
,,,,,,,100.0 20.0 100.0 1000.0 1.0 1000.0 8.0 8000.0,,,
,,,,,,,8.0 1000.0 8000.0,,,
,,,,,,,42401.0 43160.0,,,
,,,,,,,5.0 100.0 100.0 5.0 100.0 100.0 2.0 200.0,,,
,,,,,,,4.0 100.0 400.0,,,
,,,,,,,42401.0 43160.0,,,
,,,,,,,29) 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,2.0 1000.0 2000.0 42401.0 43466.0,,,
,,,,,,,100.0 20.0 100.0 100.0 20.0 100.0 8.0 800.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,1.0 5.0 100.0 1.0 1.0 100.0 12.0 1200.0,,,
,,,,,,,8.0 100.0 800.0,,,
,,,,,,,42522.0 43466.0,,,
,,,,,,,2) 5.0 1000.0 20.0 20.0 20.0 1000.0 2.0 2000.0,,,
,,,,,,,2.0 1000.0 2000.0,,,
,,,,,,,43160.0 43466.0,,,
,,,,,,,1.0 1.0 1000.0 1.0 1.0 1000.0 2.0 2000.0,,,
,,,,,,,43160.0 43466.0,,,
,,,,,,,1.0 1.0 100.0 1.0 1.0 100.0 4.0 400.0,,,
,,,,,,,43160.0 43160.0,,,
,,,,,,,100.0 20.0 20.0 100.0 5.0 100.0 16.0 1600.0,,,
,,,,,,,43160.0 43483.0,,,
,,,,,,,20.0 100.0 20.0 1.0 100.0 100.0 4.0 400.0,,,
,,,,,,,5.0 100.0 20.0 20.0 5.0 100.0 4.0 400.0,,,
,,,,,,,43160.0 43160.0,,,
,,,,,,,5.0 100.0 20.0 20.0 5.0 100.0 4.0 400.0,,,
,,,,,,,100.0 100.0 20.0 100.0 5.0 100.0 8.0 800.0,,,
,,,,,,,43299.0 43391.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,1.0 100.0 100.0 100.0 100.0 100.0 2.0 200.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0,,,
,,,,,,,1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 16.0 16000.0 43466.0 43466.0,,,
,,,,,,,1.0 5.0 20.0 100.0 1000.0,,,
,,,,,,,2.0 2.0 10.0 40.0 200.0 2000.0,,,
,,,,,,,4.0 4.0 20.0 80.0 400.0 4000.0,,,
,,,,,,,8.0 8.0 40.0 160.0 800.0 8000.0,,,
,,,,,,,12.0 12.0 60.0 240.0 1200.0 12000.0,,,
,,,,,,,16.0 16.0 80.0 320.0 1600.0 16000.0,,,
